Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,25,2,28,1,45,31,0.0046941613361174,108,0.43498021364212036
Adadelta,17,2,29,2,40,30,0.0042210624369066,36,1.2849291563034058
Adamax,24,1,19,2,51,29,0.0081437560018092,55,0.06803940236568451
RMSprop,20,1,26,1,52,27,0.0037169757749071,49,0.30135872960090637
Nadam,19,2,20,1,52,27,0.0083456461702781,114,0.044507842510938644
Adamax,24,1,17,1,48,29,0.0087940269067125,119,0.2535150945186615
SGD,20,2,19,1,53,29,0.0055842851688142,77,0.3921702206134796
SGD,31,2,21,2,61,27,0.0022578800398645,99,0.4655719995498657
Adagrad,27,2,31,2,43,22,0.0092036343583284,54,0.10352838784456253
Nadam,25,2,22,1,56,27,0.0015706694373882,56,0.04513650760054588
Adam,25,2,25,2,35,24,0.0012122723759494,101,0.04855570197105408
Adamax,26,2,27,1,60,24,0.0073327747343588,60,0.03940626606345177
Nadam,20,1,23,1,37,26,0.0016788407150027,123,0.2729162871837616
Adagrad,22,1,18,1,52,16,0.0073636105295198,39,0.39224156737327576
Adamax,30,1,18,1,61,30,0.0079901264865403,43,0.24346177279949188
Adagrad,29,1,20,1,63,25,0.0088678811201827,96,0.45173364877700806
SGD,19,2,30,1,57,16,0.005075817043986,54,0.3811853528022766
Adadelta,18,1,23,1,39,26,0.0073633694836355,86,1.6213016510009766
Adadelta,31,2,19,2,37,25,0.00983702045593,108,1.012476921081543
Adagrad,16,1,16,2,63,31,0.0086488182720245,95,0.19847208261489868
SGD,29,2,25,2,41,21,0.0063145065530686,53,0.16827496886253357
Nadam,23,2,19,1,32,27,0.0079500932657801,75,0.06241605058312416
Adadelta,17,1,26,1,42,16,0.0035742069671151,101,2.205949306488037
SGD,27,2,22,1,33,29,0.0022380221218864,62,0.5731590390205383
Adadelta,28,2,17,2,38,17,0.0063102739619732,93,1.8850934505462646
SGD,27,2,26,2,39,26,0.0005935646408985,68,2.1201112270355225
Nadam,19,1,27,1,49,29,0.0057030958111933,76,0.2928437292575836
AdamW,21,1,26,2,52,17,0.0034446305933606,80,0.06794743984937668
Adam,27,1,20,1,54,24,0.0018753241991296,79,0.23837344348430634
Adam,29,2,20,1,47,16,0.0090138532727342,94,0.06128087639808655
SGD,29,2,21,1,62,22,0.0008755774395966,50,0.8317089676856995
AdamW,19,1,28,2,52,16,0.004721908300982,70,0.06492140144109726
RMSprop,16,1,25,1,42,22,0.0010491956267505,79,0.30297979712486267
Adagrad,22,2,25,2,42,26,0.0019604476044242,109,0.4020288288593292
RMSprop,30,1,28,2,50,28,0.0014232612959998,40,0.06039368361234665
RMSprop,17,1,31,1,34,25,0.0084843349118836,72,0.36675044894218445
RMSprop,23,1,20,1,58,30,0.0091841540108388,75,0.22283469140529633
Nadam,17,2,26,1,40,19,0.0017312899608391,37,0.05170183256268501
Adagrad,21,2,20,1,63,16,0.000666571151673,47,1.3457318544387817
RMSprop,23,2,16,1,36,29,0.001918461341962,119,0.0667479857802391
Adagrad,22,1,25,2,49,27,0.0095531424934891,93,0.16761557757854462
RMSprop,16,2,26,2,41,26,0.0089809874605244,74,0.05832576006650925
Adagrad,24,1,21,1,33,20,0.0069579839180848,62,0.4010789692401886
Adadelta,17,1,18,2,52,22,0.0043010571101671,86,1.8114502429962158
Adamax,20,1,23,2,61,27,0.0039468431807461,122,0.07744163274765015
Nadam,23,1,19,2,34,26,0.0078890523388238,63,0.0716414824128151
Adadelta,24,1,23,2,59,18,0.0061462947145134,54,1.326427936553955
AdamW,24,2,17,2,33,21,0.0009638416242281,80,0.06041773781180382
Adagrad,22,2,17,1,57,20,0.0052728952640718,92,0.35111260414123535
Adam,28,1,18,1,34,26,0.0036048412301103,57,0.2545442581176758
SGD,24,2,17,2,61,29,0.0097275835698282,121,0.21610231697559357
Adagrad,23,2,26,1,58,28,0.0060775386044795,48,0.25505539774894714
Nadam,29,2,26,2,34,30,0.0098357172926601,115,0.0404646135866642
Adadelta,19,1,26,2,49,19,0.000168444984111,37,2.298107385635376
Nadam,23,2,27,1,40,29,0.0001905641925249,72,0.1276141256093979
SGD,17,1,24,1,48,31,0.0028773440766396,115,0.6839316487312317
Adagrad,24,1,26,2,51,28,0.0060365471332261,49,0.22270722687244415
Nadam,31,2,22,2,45,29,0.0096770478678284,77,0.05029185488820076
SGD,16,2,19,2,35,16,0.0057338442489451,93,0.3030375838279724
Adadelta,26,1,17,1,57,20,0.0044586796377869,116,2.20778489112854
SGD,23,2,25,2,43,24,0.0023018835222584,71,0.3730083703994751
Adadelta,25,1,28,1,63,25,0.0035808615501276,43,1.6449048519134521
Adam,20,1,31,1,54,18,0.0060065509671504,107,0.2502589225769043
Adadelta,28,2,23,2,52,23,0.008084334747596,77,0.8081772923469543
Adam,16,1,19,2,44,22,0.0068073823197476,53,0.07228530943393707
Adagrad,17,2,20,2,51,24,0.0068334751179687,65,0.1434171497821808
Adam,27,1,24,1,40,27,0.0069707088877708,95,0.2508937418460846
SGD,22,1,28,2,48,28,0.0081386247351209,54,0.2075640857219696
Adam,31,2,24,1,40,24,0.0036341421356225,101,0.046601664274930954
Adagrad,18,2,19,2,56,24,0.0075271610713263,50,0.13508476316928864
Nadam,22,2,23,2,56,24,0.0085956972789914,121,0.03666198253631592
Adam,17,1,24,1,57,19,0.0088571022815879,55,0.32306456565856934
Adamax,27,1,20,2,61,23,0.0036648452997471,113,0.07779555767774582
Nadam,24,1,19,2,41,24,0.0090141935397563,123,0.06514803320169449
Adamax,19,2,24,2,63,19,0.0015283701577345,48,0.05840398743748665
Adadelta,30,1,22,2,40,22,0.0029701249053899,54,2.1006150245666504
Adam,21,1,23,1,57,21,0.0045454745349727,77,0.3104430139064789
Nadam,26,1,29,1,42,22,0.0005749304979959,122,0.32339155673980713
AdamW,31,1,30,1,56,30,0.0072612177130509,100,0.19887588918209076
Nadam,26,2,27,1,47,27,0.009602119714133,79,0.05963698774576187
AdamW,19,1,22,2,34,27,0.0013142309948545,64,0.07364872097969055
RMSprop,18,1,28,2,42,21,0.0039173500976842,104,0.05819639936089516
Adadelta,18,1,17,1,63,26,0.0026639784544198,58,2.1934421062469482
Nadam,18,1,20,2,35,26,0.0050021034357499,82,0.06943570077419281
Adam,31,2,29,1,41,26,0.0078683615060576,39,0.0705828070640564
AdamW,23,2,18,2,51,21,0.0076120152237021,126,0.04144052788615227
RMSprop,22,1,27,1,61,25,0.0078745952816593,84,0.3253125250339508
RMSprop,28,2,25,1,50,18,0.0084654659183861,58,0.07185627520084381
Adam,16,2,22,1,47,22,0.0064931941131061,64,0.05543737858533859
SGD,30,1,19,1,51,16,0.0041682329702102,124,0.9848071336746216
Adamax,25,2,26,1,34,23,0.0017596743321515,38,0.08705505728721619
AdamW,18,1,16,2,50,30,0.0064792738868081,66,0.07483323663473129
SGD,21,1,26,1,53,27,0.0060344326525787,114,0.5828325748443604
Adagrad,18,1,20,1,51,23,0.0051077618202204,103,0.48954176902770996
Nadam,16,1,25,1,49,18,0.0086829658855422,55,0.32179170846939087
SGD,18,2,27,2,32,21,0.0075431313080113,48,0.18873804807662964
Adam,16,2,24,2,37,23,0.0089611792827157,43,0.05882001668214798
