Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,16,1,24,2,48,31,0.0073119178989185,36,0.19417178630828857
SGD,18,2,31,1,50,27,0.0091200617965129,77,0.3517534136772156
Adadelta,23,1,24,2,50,18,0.0051692783050099,112,1.8956153392791748
RMSprop,24,1,25,1,39,25,0.0076489958066651,80,0.34925782680511475
RMSprop,24,1,30,2,62,16,0.0079590598101964,66,0.07219614088535309
RMSprop,28,2,29,1,55,18,0.008743654822335,36,0.1047665923833847
Adamax,24,2,16,1,47,17,0.0037895828735378,53,0.06265531480312347
Adadelta,28,1,17,2,44,29,0.000632531450011,40,2.2403383255004883
Adagrad,29,1,16,2,56,17,0.0093081659677775,40,0.1616845726966858
Nadam,16,1,27,2,58,22,0.0018376296623261,97,0.06178464740514755
AdamW,21,1,17,1,63,19,0.0001574045464577,77,0.40149161219596863
Adagrad,29,1,20,2,60,31,0.0080536084749503,37,0.12399652600288391
SGD,20,2,29,1,44,27,0.0062025601412491,84,0.4272547662258148
SGD,28,1,22,2,57,20,0.0044806223791657,66,0.3130546808242798
Adagrad,26,1,18,2,57,22,0.0058078790553961,99,0.2904447615146637
Adadelta,29,2,17,2,60,31,0.0064186713749724,87,1.1118886470794678
Adadelta,28,1,21,2,47,21,0.0027904656808651,95,2.1724843978881836
Adadelta,27,1,24,1,62,18,0.0011775766938865,52,2.2525827884674072
SGD,16,1,25,2,38,18,0.0004066872655043,36,1.796420693397522
SGD,26,2,19,2,36,29,0.0094464135952328,86,0.17687654495239258
SGD,19,1,26,2,33,30,0.003928426395939,71,0.338589608669281
Adamax,30,1,21,1,33,28,0.0065710218494813,91,0.26617446541786194
AdamW,22,1,18,1,44,29,0.0003876186272346,120,0.33990582823753357
Adadelta,29,2,27,1,48,25,0.0004942838225557,104,2.3009393215179443
AdamW,30,2,24,1,39,21,0.0068665857426616,58,0.06298864632844925
Adamax,23,2,29,1,36,23,0.0086955859633634,68,0.054350823163986206
SGD,27,1,27,2,63,30,0.0072775546237033,78,0.2702541947364807
RMSprop,31,1,18,2,37,29,0.0017490399470315,36,0.0681602880358696
Adagrad,31,1,21,1,46,23,0.0039222688148311,41,0.454997181892395
Adadelta,24,2,31,2,38,18,0.0020525491061575,92,2.186434030532837
Adamax,20,1,19,2,45,18,0.0025638269697638,60,0.08637068420648575
Nadam,28,2,29,2,45,19,0.002272434341205,112,0.03391263261437416
Adam,18,1,29,2,46,21,0.00561560361951,57,0.06343869119882584
Nadam,31,2,20,2,45,17,0.0096394835577135,45,0.057972561568021774
Adadelta,17,2,18,2,46,16,0.0091391304347826,126,0.8925796151161194
RMSprop,24,1,16,1,51,25,0.0052677996027367,51,0.31773269176483154
SGD,29,1,18,2,56,31,0.0004621054954756,45,2.1946513652801514
Adamax,19,1,24,1,33,23,0.0089800264842198,62,0.29424482583999634
Adam,23,1,30,1,55,27,0.0035947252262193,91,0.1966949999332428
SGD,23,1,25,1,57,21,0.0070852791878172,73,0.4788685441017151
Adam,29,2,21,1,46,18,0.0081870889428382,116,0.05696685239672661
SGD,30,1,21,2,47,18,0.0008222246744647,116,2.13944411277771
Adamax,24,1,19,1,37,21,0.0076404546457735,35,0.22065618634223938
RMSprop,16,2,31,2,56,23,0.00524535422644,115,0.030383238568902016
RMSprop,25,1,23,2,56,29,0.0044313617303023,110,0.05372044816613197
Adam,28,1,21,2,36,26,0.0047167954094018,75,0.07298994064331055
Adadelta,21,1,31,2,42,29,0.0026756565879496,112,2.1266701221466064
Nadam,25,2,20,2,52,30,0.0003494813506952,41,0.058606572449207306
Adamax,22,2,31,1,39,19,0.0006865592584418,123,0.18313688039779663
Nadam,18,2,29,1,56,30,0.0012612006179651,107,0.06009402498602867
Adam,19,1,26,2,38,26,0.0098085190907084,61,0.08367829769849777
AdamW,29,2,18,1,42,20,0.0082436989627013,35,0.07684461772441864
Adadelta,21,2,31,1,32,29,0.0079143676892518,82,1.1056814193725586
Adagrad,24,2,24,2,40,28,0.0062913484881924,123,0.24049758911132812
