Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Nadam,49,16,0.0075002427921679,70,0.07901380956172943
Adamax,53,27,0.0050510271265487,108,0.10235189646482468
Adadelta,36,18,0.0060900602884953,61,1.9089298248291016
SGD,54,21,0.0049368602734284,44,0.42082712054252625
Nadam,47,29,0.0022413880129001,54,0.0718061774969101
Nadam,56,28,0.0036002739552437,46,0.06437640637159348
Adagrad,51,24,0.0034835188720781,109,0.5205585956573486
Adagrad,55,30,0.0069663598932421,46,0.2999536395072937
Adamax,63,23,0.0036761967771439,38,0.09132753312587738
AdamW,58,26,0.0041347432279311,63,0.06802444159984589
Adagrad,51,27,0.0016000947114181,113,1.024810552597046
Nadam,52,25,0.0059299637048797,71,0.0696638822555542
Adadelta,55,21,0.0027536316828526,60,2.038742780685425
RMSprop,35,21,0.005131004838968,72,0.09741026163101196
Nadam,48,24,0.0075423217470984,88,0.07578115165233612
Adagrad,53,28,0.0084369246812764,109,0.3241099417209625
SGD,35,19,0.0060584275934932,85,0.5730240345001221
Adamax,52,22,0.0039470163368587,42,0.09459849447011948
Adadelta,54,30,0.0064474927135774,93,1.5059465169906616
SGD,48,26,0.0086946472776575,104,0.47166308760643005
Nadam,39,24,0.0093866177225589,42,0.10852539539337158
Adamax,60,28,0.0034332072943255,102,0.11740623414516449
SGD,54,27,0.0072944696825759,42,0.3298822045326233
Adagrad,61,31,0.0054462714384314,125,0.3901907801628113
SGD,36,18,0.0068687621721698,102,0.6810994744300842
Adamax,32,18,0.0080094445659372,84,0.11014454066753387
Adamax,50,31,0.002481452708389,50,0.12391167134046555
Adagrad,37,23,0.0090149365275487,120,0.33449044823646545
Adamax,55,19,0.0077900392043875,65,0.07594325393438339
Nadam,56,23,0.0024173048029102,38,0.0650525912642479
Adagrad,43,25,0.0022478125958945,57,0.5155467987060547
Adagrad,53,19,0.0038683375297885,34,0.34543994069099426
Nadam,41,29,0.0047798263108989,50,0.0797552764415741
Adam,49,27,0.0034279360590757,113,0.07736269384622574
RMSprop,45,19,0.0072173066358822,61,0.09664618968963623
Adagrad,58,25,0.0070316573181603,100,0.3287063539028168
